DateTime,MODIS_filename,MODIS_SST,MODIS_pix,L8_filename,L8_LST,L8_pix,time_dif
2022-01-21 12:00:00,20220121115001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.7920561228100645,2296511,LC08_L1GT_010112_20220121_20220128_02_T2_SW_LST.TIF,-2.576798878598219,2296511,0 days 00:09:59
2022-02-06 12:00:00,20220206115001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_010112_20220206_20220212_02_T2_SW_LST.TIF,,0,0 days 00:09:59
2022-11-05 12:00:00,20221105124500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.8338629154014525,520522,LC08_L1GT_010112_20221105_20221115_02_T2_SW_LST.TIF,-3.8100282962878054,520522,0 days 00:45:00
2022-11-21 12:00:00,20221121104000-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.8309806799459643,276731,LC08_L1GT_010112_20221121_20221129_02_T2_SW_LST.TIF,-3.3262789903085808,276731,0 days 00:15:01
2022-12-23 12:00:00,20221223112001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_010112_20221223_20230103_02_T2_SW_LST.TIF,,0,0 days 00:39:59
2023-01-08 12:00:00,20230108123001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-0.7339318609708904,83633,LC08_L1GT_010112_20230108_20230124_02_T2_SW_LST.TIF,-2.7828639018289216,83633,0 days 00:30:01
2023-02-09 12:00:00,20230209113001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_010112_20230209_20230217_02_T2_SW_LST.TIF,,0,0 days 00:29:59
2023-03-13 12:00:00,20230313103001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_010112_20230313_20230321_02_T2_SW_LST.TIF,,0,0 days 01:29:59
2021-12-27 12:00:00,20211227120001-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,,0,LC08_L1GT_011112_20211227_20220105_02_T2_SW_LST.TIF,,0,0 days 00:00:01
2022-01-12 12:00:00,20220112120001-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-1.859665823412371,111,LC08_L1GT_011112_20220112_20220123_02_T2_SW_LST.TIF,-5.24548895208683,111,0 days 00:00:01
2022-02-13 12:00:00,20220213115500-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_011112_20220213_20220222_02_T2_SW_LST.TIF,,0,0 days 00:05:00
2022-11-12 12:00:00,20221112074501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,,0,LC08_L1GT_011112_20221112_20230113_02_T2_SW_LST.TIF,,0,0 days 00:40:01
2023-01-31 12:00:00,20230131115501-JPL-L2P_GHRSST-SSTskin-MODIS_T-N-v02.0-fv01.0,-0.7995859927270004,2260411,LC08_L1GT_011112_20230131_20230208_02_T2_SW_LST.TIF,-2.9262980417198126,2260411,0 days 00:04:59
2021-12-02 12:00:00,20211202120500-JPL-L2P_GHRSST-SSTskin-MODIS_T-D-v02.0-fv01.0,-1.556432491181838,629460,LC08_L1GT_012112_20211202_20211209_02_T2_SW_LST.TIF,-3.7374967013710254,629460,0 days 00:05:00
