wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.46,270.332,0.9293,0.9342,0.24591471093594652
0,271.46,270.199,0.9102,0.9164,1.2317470288018844
0,271.46,270.411,0.9539,0.9581,0.45567772888805036
0,271.46,270.361,0.9077,0.9121,0.7657591022418463
0,271.46,270.314,0.9251,0.9302,0.3179009141755849
0,271.46,270.274,0.8971,0.9023,1.3450010452091183
0,271.46,270.316,0.9443,0.9495,0.4766494674532078
0,271.46,270.38,0.8866,0.8905,0.837407167585261
0,271.46,270.307,0.9221,0.9272,0.4660414616612198
0,271.46,270.405,0.8897,0.8934,1.4111409094848908
0,271.46,270.222,0.9324,0.9385,0.46884904631041185
0,271.46,270.485,0.872,0.8751,0.8798853329118506
0,271.46,270.329,0.9239,0.9287,0.6286696272427384
0,271.46,270.492,0.8887,0.8919,1.432171281732294
0,271.46,270.208,0.9258,0.9321,0.46899690516129366
0,271.46,270.541,0.8648,0.868,0.8593943905411126
0,271.46,270.378,0.9269,0.9313,0.7032797132558009
0,271.46,270.493,0.892,0.8952,1.4317346902357078
0,271.46,270.212,0.92,0.9261,0.45681894428780473
0,271.46,270.549,0.8599,0.863,0.7163358027460959
0,271.461,270.473,0.9357,0.9392,0.734267614322934
0,271.46,270.519,0.8973,0.9006,1.431284740456731
0,271.46,270.225,0.9127,0.9186,0.43724421693442717
0,271.46,270.568,0.858,0.8611,0.620244120061387
0,271.646,270.693,0.9404,0.944,0.8037266038861386
0,271.46,270.522,0.9043,0.9075,1.4143959456083377
0,271.46,270.252,0.9046,0.9101,0.4234102369310621
0,271.46,270.614,0.8582,0.8608,0.6043199767504703
0,271.912,270.965,0.9408,0.9441,0.8902704287396819
0,271.463,270.467,0.8958,0.899,1.3805783320501905
0,271.47,270.298,0.8972,0.9023,0.42122162002314767
0,271.46,270.667,0.8556,0.8577,0.5789704435255668
0,271.959,271.01,0.9399,0.9432,0.9204438824675092
0,271.636,270.586,0.8713,0.8758,1.3337723381582907
0,271.68,270.529,0.8888,0.8942,0.43161252823339263
0,271.559,270.803,0.8533,0.8548,0.5663284607893624
0,271.96,271.009,0.9399,0.9432,0.9209257493639523
0,271.85,270.822,0.8573,0.8612,1.2811639550713037
0,271.743,270.637,0.8781,0.8831,0.45232551380950686
0,271.681,270.922,0.8502,0.8515,0.5613879357374845
0,272.201,271.213,0.9364,0.9399,0.871254964743312
0,271.971,271.015,0.8672,0.8702,1.2325821253945028
0,271.878,270.797,0.8773,0.8819,0.4799571209332442
0,271.704,270.858,0.8341,0.8363,0.5501241504489301
0,272.339,271.355,0.9347,0.938,0.9498481132700771
0,272.006,271.117,0.8781,0.8804,1.1923148067892706
0,272.013,270.939,0.8772,0.8814,0.5074308250014021
0,271.799,270.876,0.8158,0.8186,0.5468381149526087
0,272.477,271.532,0.9355,0.9389,0.8992814059847147
0,272.098,271.267,0.8884,0.89,1.1547789000321211
0,272.34,271.235,0.8715,0.8756,0.5145908133766374
0,272.026,271.054,0.7991,0.8018,0.5587598721275869
0,272.801,271.874,0.9378,0.9408,0.8116646357318759
0,272.434,271.628,0.8996,0.9016,1.1200002039432426
0,272.521,271.412,0.8657,0.8695,0.5329470308413168
0,272.143,271.187,0.7975,0.7998,0.5840552074357708
0,273.167,272.234,0.9387,0.9415,0.8094888162624342
0,272.664,271.883,0.9055,0.9071,1.1014005802185252
0,272.789,271.689,0.8628,0.8676,0.589561318085177
0,272.512,271.534,0.7951,0.7982,0.6123172541081817
0,273.76,272.787,0.9376,0.941,0.8022754457434494
0,272.936,272.159,0.9074,0.9086,1.102243120739498
0,273.238,272.113,0.8627,0.867,0.7326583491814228
0,272.868,271.871,0.7897,0.793,0.6324222338923078
0,274.246,273.216,0.933,0.9367,0.7946516904345522
0,273.547,272.736,0.907,0.9089,1.1144910851310081
0,273.893,272.635,0.8621,0.8682,0.9031102364212039
0,273.851,272.709,0.7847,0.7894,0.63193210729454
0,274.388,273.312,0.9287,0.9328,0.7950475952542407
0,273.78,272.959,0.9057,0.9075,1.1244252624494604
0,274.092,272.835,0.8837,0.8896,1.0081715468585093
0,274.016,272.874,0.7848,0.7892,0.6276452203351808
0,271.46,270.294,0.9245,0.9297,0.24118001560165805
0,271.46,270.195,0.9132,0.9194,0.915170267114662
0,271.46,270.418,0.9544,0.9585,0.41685585801471453
0,271.46,270.293,0.8947,0.8997,0.7699656865494335
0,271.46,270.292,0.9201,0.9254,0.3135148598145137
0,271.46,270.232,0.9024,0.9082,0.8926602866422275
0,271.46,270.356,0.9484,0.9532,0.4554629256677867
0,271.46,270.369,0.8771,0.881,0.8499063390658381
0,271.46,270.297,0.9162,0.9214,0.46644042562954713
0,271.46,270.346,0.8914,0.8958,0.9535766546170201
0,271.46,270.246,0.9351,0.941,0.47725553578439106
0,271.46,270.5,0.8621,0.8652,0.900322995110461
0,271.46,270.316,0.9187,0.9236,0.6340588274283266
0,271.46,270.484,0.8901,0.8933,1.0924658267604126
0,271.46,270.23,0.9284,0.9344,0.47971794649549027
0,271.46,270.532,0.8579,0.861,0.9126794063212207
0,271.46,270.36,0.9247,0.9292,0.7144723733384999
0,271.46,270.511,0.8933,0.8966,1.2261996706316634
0,271.46,270.218,0.9221,0.9282,0.4966401370498591
0,271.46,270.576,0.8568,0.8598,0.8375736872428405
0,271.46,270.439,0.9323,0.9361,0.7509466025605074
0,271.46,270.498,0.8934,0.8967,1.3332469293795537
0,271.46,270.215,0.9147,0.9207,0.5173811138360195
0,271.46,270.629,0.8576,0.86,0.6845512483875738
0,271.507,270.542,0.9389,0.9426,0.8291078502852656
0,271.46,270.537,0.9036,0.9069,1.4066435530991723
0,271.46,270.226,0.9067,0.9125,0.5234037617331098
0,271.46,270.638,0.8502,0.8525,0.608793981634911
0,271.959,270.973,0.9377,0.9414,0.9048880606527204
0,271.482,270.551,0.9114,0.9148,1.4579899863867887
0,271.56,270.355,0.8994,0.9047,0.5035637042211154
0,271.481,270.624,0.8369,0.8396,0.5863378931643324
0,272.221,271.238,0.9383,0.9417,0.9247595764098853
