wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.461,270.302,0.8879,0.8927,0.4571325580091061
0,271.46,270.252,0.9126,0.9181,0.5968875711889382
0,271.46,270.464,0.9571,0.9608,0.6864645419179843
0,271.46,270.436,0.9535,0.9575,0.6753321980492829
0,271.461,270.4,0.8732,0.8768,0.4954193327996818
0,271.46,270.38,0.9112,0.9154,0.5990641554455395
0,271.46,270.464,0.9565,0.9602,0.7430549678024607
0,271.46,270.489,0.9573,0.9609,0.7239015362024748
0,271.461,270.43,0.8622,0.8654,0.5165463741440759
0,271.46,270.458,0.9233,0.9267,0.5948587438115973
0,271.46,270.442,0.9546,0.9586,0.7938572295330211
0,271.46,270.505,0.9596,0.9631,0.7596163317748671
0,271.461,270.475,0.8534,0.8564,0.5147361229369867
0,271.46,270.472,0.9263,0.9297,0.5875879122840113
0,271.46,270.431,0.9537,0.9577,0.822692764603611
0,271.46,270.513,0.9609,0.9645,0.7927550692642237
0,271.461,270.535,0.8438,0.8469,0.4982707652460321
0,271.46,270.449,0.9229,0.9264,0.5755692820688003
0,271.46,270.442,0.9544,0.9583,0.8311347402018019
0,271.46,270.529,0.962,0.9654,0.7966768978193369
0,271.461,270.558,0.8364,0.8394,0.4844793583945588
0,271.46,270.396,0.9122,0.9162,0.5566201506120846
0,271.46,270.42,0.9519,0.956,0.8171541759928214
0,271.46,270.531,0.962,0.9654,0.780768050251615
0,271.461,270.516,0.822,0.8249,0.483806549637236
0,271.46,270.335,0.9005,0.9051,0.5441834367495526
0,271.46,270.424,0.9514,0.9555,0.7771583568292945
0,271.46,270.534,0.9618,0.9652,0.7077629975577796
0,271.461,270.522,0.8104,0.8133,0.49013592817118995
0,271.46,270.316,0.8935,0.8982,0.5181220396363693
0,271.46,270.452,0.9532,0.957,0.7534206380364344
0,271.46,270.534,0.9615,0.9649,0.6751424798478584
0,271.461,270.565,0.8047,0.8076,0.4926353545808202
0,271.46,270.316,0.889,0.8936,0.47130156577424503
0,271.46,270.488,0.9557,0.9592,0.7335639591501685
0,271.46,270.534,0.9612,0.9645,0.686229344373461
0,271.461,270.609,0.8016,0.8043,0.4751033737310905
0,271.46,270.331,0.8846,0.889,0.42788969729724213
0,271.46,270.492,0.9549,0.9585,0.6906983016626475
0,271.46,270.537,0.9609,0.9643,0.681126582472098
0,271.461,270.641,0.7971,0.7995,0.4252775412602673
0,271.654,270.532,0.8799,0.8849,0.39992907873738737
0,271.46,270.512,0.9561,0.9596,0.6346455211514636
0,271.46,270.537,0.9603,0.9637,0.6546126862894056
0,271.461,270.663,0.7906,0.7927,0.37156297002544186
0,271.637,270.567,0.8755,0.8803,0.3736905569180098
0,271.46,270.52,0.9564,0.96,0.5696041971519328
0,271.46,270.546,0.9603,0.9636,0.6309339580794665
0,271.461,270.753,0.7874,0.7886,0.3378292281258126
0,271.46,270.496,0.8772,0.8804,0.34425517378513554
0,271.46,270.52,0.9561,0.9596,0.5305986244028288
0,271.46,270.558,0.9606,0.9637,0.602257243809048
0,271.461,270.918,0.7977,0.7971,0.32130452295126266
0,271.46,270.584,0.8829,0.8858,0.37904636139762304
0,271.46,270.521,0.9557,0.9592,0.4961872810796756
0,271.46,270.574,0.961,0.964,0.575063553812974
0,271.461,271.051,0.813,0.8109,0.3037488336995814
0,271.46,270.643,0.8857,0.8879,0.4572408518709244
0,271.46,270.522,0.9552,0.9587,0.47806208032304626
0,271.46,270.588,0.9613,0.9641,0.536191003043853
0,271.461,271.13,0.8245,0.8216,0.28902030764838144
0,271.46,270.686,0.887,0.8888,0.5120938342859183
0,271.46,270.526,0.9546,0.9581,0.4556694691867255
0,271.46,270.594,0.961,0.9637,0.5127385498615735
0,271.461,271.17,0.8259,0.8225,0.28069942335048165
0,271.461,270.677,0.8827,0.8846,0.5260894393090403
0,271.46,270.533,0.9538,0.9572,0.42145926488658214
0,271.46,270.601,0.9605,0.9631,0.4917298465836958
0,271.567,271.263,0.825,0.8215,0.27749710655524573
0,271.697,270.882,0.8746,0.8765,0.5169001136983578
0,271.46,270.536,0.9525,0.9559,0.3762979202887836
0,271.46,270.607,0.9595,0.9621,0.49235085375739923
0,271.461,270.29,0.89,0.8949,0.4629813952776941
0,271.46,270.292,0.9234,0.9287,0.6519453636053086
