wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.46,270.553,0.8324,0.8354,0.29205911294886633
0,271.46,270.415,0.9064,0.9101,0.32826250554470693
0,271.459,270.454,0.9005,0.9038,0.3818116788097873
0,271.46,270.147,0.8802,0.8866,0.4924697526678326
0,271.46,270.552,0.8322,0.8351,0.2906317651797505
0,271.46,270.423,0.9154,0.9191,0.3646526081791438
0,271.459,270.424,0.891,0.8944,0.34781913293530414
0,271.46,270.223,0.8677,0.8732,0.5458783070671432
0,271.46,270.558,0.8335,0.8364,0.29100498131370045
0,271.46,270.377,0.9215,0.9259,0.41366909189172646
0,271.459,270.475,0.8943,0.8975,0.3135270964090694
0,271.46,270.349,0.8558,0.8597,0.5638959277633037
0,271.46,270.564,0.8329,0.8359,0.28967425165576416
0,271.46,270.322,0.9259,0.9309,0.47314720113392444
0,271.459,270.542,0.9027,0.9059,0.2861870261506223
0,271.46,270.439,0.8485,0.8515,0.4515009712796928
0,271.46,270.571,0.8303,0.8332,0.2892123202112852
0,271.46,270.284,0.9281,0.9335,0.5470256407641754
0,271.459,270.578,0.91,0.9129,0.26703048441618693
0,271.46,270.471,0.84,0.843,0.2727470135061413
0,271.46,270.581,0.828,0.8309,0.29424742394191694
0,271.46,270.292,0.932,0.9373,0.676974451010284
0,271.459,270.604,0.9162,0.9188,0.2507389883395451
0,271.46,270.501,0.831,0.8339,0.17926325503612348
0,271.46,270.59,0.8274,0.8303,0.3058617366786823
0,271.46,270.345,0.9387,0.9435,0.8562052280850239
0,271.459,270.63,0.922,0.9243,0.23855597987080196
0,271.46,270.55,0.8272,0.8301,0.1733009743388415
0,271.47,270.61,0.8264,0.8292,0.319119118149419
0,271.46,270.369,0.9406,0.9452,1.0737374638638069
0,271.459,270.653,0.9267,0.9288,0.2325702457006215
0,271.465,270.623,0.8233,0.8259,0.22707672854644553
0,271.883,270.963,0.8237,0.8263,0.32717997481300953
0,271.46,270.402,0.9431,0.9473,1.224046029989854
0,271.465,270.678,0.9323,0.9342,0.23020781816420494
0,271.581,270.819,0.8228,0.8242,0.3134326706877476
0,271.971,271.04,0.8207,0.8233,0.3281921451260114
0,271.933,270.893,0.9451,0.9494,1.3482168732441762
0,271.945,271.142,0.9359,0.9375,0.2408411639040855
0,272.099,271.343,0.8213,0.8217,0.40963932637546974
0,272.443,271.446,0.8232,0.8259,0.3356052780511184
0,272.88,271.836,0.9468,0.9511,1.4460614480989942
0,273.063,272.202,0.9363,0.9385,0.280838767570985
0,272.992,272.14,0.8177,0.8192,0.49166504361836105
0,272.82,271.768,0.8225,0.8265,0.35128749369050594
0,273.14,272.055,0.9407,0.9452,1.5126157760295311
0,273.021,272.15,0.9341,0.9364,0.31785803510882926
0,273.156,272.303,0.8141,0.8153,0.5387269862797184
0,271.46,270.464,0.8586,0.8616,0.2685988589375577
0,271.46,270.454,0.8804,0.8836,0.2523026721663361
0,271.459,270.372,0.8706,0.8745,0.28994248800558803
0,271.46,270.433,0.9545,0.9585,0.4684460034772323
0,271.46,270.492,0.8527,0.8558,0.29224220299490655
0,271.46,270.473,0.8807,0.8838,0.27935931230338606
0,271.459,270.364,0.8677,0.8716,0.30801955815696497
0,271.46,270.391,0.9497,0.9542,0.42266992296044015
0,271.46,270.535,0.857,0.8601,0.3086844131278265
0,271.46,270.429,0.8759,0.8792,0.2996702747625336
