wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.969,270.789,0.9226,0.9283,0.47579280386268497
0,271.494,270.612,0.9471,0.95,0.6740520463155104
0,271.461,270.59,0.9164,0.9192,0.3595483676892722
0,271.46,270.609,0.9639,0.9665,0.6425224210102328
0,271.749,270.521,0.9111,0.9173,0.49969724625636686
0,271.462,270.538,0.9372,0.9405,0.7459942997863693
0,271.46,270.587,0.9058,0.9086,0.4231888565412246
0,271.461,270.594,0.9616,0.9644,0.7852763176008118
0,271.537,270.284,0.9004,0.9063,0.5144997017330077
0,271.46,270.483,0.9245,0.9279,0.751858942656259
0,271.46,270.579,0.8965,0.8994,0.4753543258911046
0,271.461,270.587,0.96,0.9628,0.8943961495515799
0,271.48,270.234,0.8916,0.8973,0.5008966874518822
0,271.46,270.484,0.9278,0.9312,0.7461536304446473
0,271.46,270.563,0.8904,0.8935,0.5206858101390385
0,271.461,270.59,0.959,0.9618,0.9557292755426164
0,271.46,270.235,0.8825,0.888,0.466268399504418
0,271.46,270.495,0.9268,0.9302,0.7589459703364555
0,271.46,270.557,0.886,0.8892,0.5716142617509548
0,271.461,270.6,0.9586,0.9613,1.0015859136402336
0,271.46,270.261,0.8724,0.8775,0.4268818607781456
0,271.46,270.514,0.9286,0.932,0.75029306643961
0,271.46,270.555,0.8831,0.8862,0.6405417242381446
0,271.461,270.605,0.9571,0.9597,1.0420663529339786
0,271.513,270.327,0.8619,0.8666,0.3927698041635014
0,271.46,270.523,0.9352,0.9387,0.7641510097739801
0,271.46,270.552,0.8814,0.8846,0.7152168171597844
0,271.461,270.596,0.9526,0.9553,1.0517771104301672
0,271.784,270.582,0.8512,0.8571,0.37378906150418334
0,271.461,270.511,0.9351,0.9385,0.8716246118705164
0,271.46,270.549,0.8825,0.8857,0.7838947041038479
0,271.461,270.574,0.9472,0.9502,1.0419654010288935
0,271.917,270.716,0.8409,0.8466,0.3643834540847283
0,271.463,270.45,0.9241,0.9277,1.00838767570985
0,271.46,270.554,0.887,0.8902,0.8492837513320042
0,271.461,270.545,0.9378,0.9411,1.0423462650344408
0,271.706,270.556,0.8342,0.8394,0.3527906063742461
0,271.464,270.389,0.9051,0.9091,1.0662764552625006
0,271.462,270.577,0.8945,0.8975,0.9114150601887496
0,271.461,270.511,0.9304,0.9338,1.1137646393008827
0,271.698,270.571,0.8281,0.8331,0.35234193124053587
0,271.57,270.503,0.8867,0.891,1.039010518372737
0,271.475,270.602,0.8983,0.9011,0.9392772761340519
0,271.461,270.504,0.9355,0.9389,1.3512031121738821
0,271.936,270.791,0.8227,0.8276,0.36249320614073105
0,272.045,270.995,0.8699,0.8739,0.9794807605043518
0,271.919,271.01,0.8982,0.9009,0.9482543988008137
0,271.769,270.726,0.9256,0.93,1.5208736928512794
0,272.204,271.04,0.8191,0.8237,0.3767450148623638
0,272.183,271.144,0.86,0.8635,0.9155494995742686
0,272.161,271.232,0.8965,0.8991,0.9687977035990887
0,271.951,270.823,0.9086,0.9137,1.6075934187515617
0,272.616,271.4,0.8128,0.8171,0.38060617030280475
0,272.559,271.549,0.877,0.881,0.8479818286570847
0,272.287,271.365,0.8984,0.9008,0.9936813284862824
0,272.256,271.092,0.8959,0.901,1.6332966405449363
0,272.813,271.584,0.8088,0.8146,0.38794430310044714
0,272.63,271.674,0.8975,0.901,0.7946710650425988
0,272.42,271.511,0.902,0.9048,1.01584740966589
0,272.529,271.367,0.8847,0.8893,1.6569387609428297
0,272.98,271.755,0.809,0.8146,0.4050856816547955
0,272.688,271.747,0.908,0.9112,0.7635465220029264
0,272.734,271.821,0.9054,0.9083,1.0264335935309201
0,272.933,271.786,0.882,0.8871,1.6907385294672495
0,273.334,272.074,0.8084,0.8135,0.4204357247378055
0,273.691,272.666,0.9109,0.9149,0.7481264244160851
0,273.392,272.464,0.915,0.9175,0.9827800523114419
0,273.404,272.254,0.8855,0.89,1.7236552237512306
0,273.933,272.598,0.8106,0.8173,0.4494823410644818
0,274.152,273.062,0.9066,0.9108,0.7414574803832095
0,273.968,273.044,0.9288,0.9316,0.8640863597660771
0,273.566,272.427,0.8897,0.894,1.7388539409482344
0,271.731,270.707,0.9393,0.9436,0.5128342502281615
0,271.463,270.599,0.947,0.9497,0.657194862669719
0,271.461,270.538,0.9151,0.9184,0.35343644363773563
0,271.461,270.604,0.964,0.9667,0.7894189147160344
0,271.577,270.511,0.9297,0.9343,0.5354349854435511
0,271.46,270.576,0.9434,0.9464,0.7288566941820093
0,271.46,270.532,0.9035,0.9068,0.41537844217954156
0,271.461,270.609,0.9637,0.9663,0.9152671911407056
0,271.501,270.403,0.9222,0.9267,0.5487738932255153
0,271.46,270.48,0.9225,0.9259,0.7643504662652385
0,271.46,270.523,0.8949,0.8981,0.46945016901796227
0,271.461,270.606,0.9624,0.965,1.0359725288452224
0,271.46,270.346,0.9162,0.9208,0.5306586347019625
0,271.46,270.475,0.9213,0.9246,0.7428370034619365
0,271.46,270.525,0.8902,0.8935,0.5149499064410377
0,271.461,270.586,0.9589,0.9618,1.0637340478144932
0,271.464,270.338,0.9081,0.9127,0.4833884150041044
0,271.46,270.474,0.919,0.9224,0.7304200720939363
0,271.46,270.531,0.886,0.8892,0.5577726338759923
0,271.461,270.579,0.9562,0.9591,1.0564927880570838
0,271.518,270.387,0.8991,0.9036,0.43424829070069804
0,271.46,270.523,0.9275,0.9309,0.7541794598563222
0,271.46,270.536,0.8816,0.8848,0.6250853757399315
0,271.461,270.586,0.954,0.9569,1.0600939158632152
0,271.614,270.496,0.8923,0.8971,0.3996197988099912
0,271.46,270.536,0.934,0.9374,0.7231698898196632
0,271.46,270.535,0.877,0.8802,0.7085427745458439
0,271.461,270.563,0.9479,0.951,1.152215843330801
0,271.486,270.401,0.8869,0.8908,0.3838307678972942
0,271.46,270.516,0.9347,0.9381,0.7498144116492381
0,271.46,270.534,0.8724,0.8756,0.7784086308780265
0,271.461,270.513,0.934,0.9375,1.2932296451897438
0,271.652,270.574,0.8833,0.8881,0.3654238705368297
0,271.462,270.425,0.917,0.9208,0.8803436953495842
0,271.46,270.53,0.8698,0.873,0.8438461146262994
0,271.461,270.53,0.938,0.9415,1.4483361290552839
0,272.031,270.93,0.8799,0.8845,0.35295146660684334
0,271.469,270.4,0.8988,0.9027,1.0153059403567988
0,271.464,270.533,0.8719,0.8751,0.9116279259482087
0,271.461,270.49,0.9389,0.9424,1.5556058898808465
0,271.896,270.83,0.879,0.8833,0.3527360515568517
0,271.568,270.532,0.8806,0.8848,1.0507805927610347
0,271.479,270.541,0.8737,0.8771,0.9561714244925638
0,271.46,270.377,0.9152,0.9195,1.6251903045382474
0,271.958,270.904,0.8783,0.8824,0.36213146181417716
0,271.991,270.96,0.8709,0.8748,1.0161445039845414
0,271.574,270.633,0.877,0.8805,0.9614673716304752
0,271.669,270.559,0.8946,0.8997,1.6771684010339925
0,272.073,271.02,0.8774,0.8814,0.37808747125674935
0,272.004,270.994,0.8616,0.8651,0.9731417966379958
0,272.09,271.107,0.8819,0.8851,0.9819356253154746
0,271.923,270.865,0.8655,0.8697,1.6762876211550328
0,272.602,271.511,0.8784,0.8828,0.38608077172123
0,272.249,271.24,0.8642,0.8673,0.9348127036245811
0,272.094,271.132,0.8862,0.8892,1.0087986213436801
0,271.926,270.958,0.8781,0.8814,1.653514808828703
0,272.725,271.65,0.8799,0.8845,0.3959128754467632
0,272.619,271.652,0.8885,0.892,0.8735392310320037
0,272.756,271.761,0.8878,0.8915,1.0388422651975957
0,272.811,271.79,0.8886,0.8925,1.695035103730632
0,273.003,271.943,0.8831,0.8871,0.42665191477211895
0,273.371,272.374,0.9023,0.9054,0.7995007469421263
0,273.558,272.514,0.8889,0.8928,1.067844268939954
0,273.566,272.478,0.8888,0.8929,1.7540450612594518
0,273.775,272.673,0.8853,0.89,0.46089525984918395
0,273.867,272.834,0.906,0.91,0.727240342012818
0,273.824,272.798,0.8965,0.9004,1.0954938740548503
0,273.749,272.639,0.8894,0.8942,1.7721021959588648
0,274.101,273.003,0.887,0.8913,0.47828014663519147
0,274.307,273.232,0.9021,0.9059,0.6735033370213072
0,273.861,272.885,0.9111,0.9145,1.0879089699336677
0,273.742,272.611,0.8906,0.8956,1.757950166468672
0,271.843,270.869,0.9439,0.9476,0.5443447558544457
0,271.462,270.599,0.944,0.9468,0.6167197768860928
0,271.46,270.51,0.9156,0.919,0.35075265253679894
0,271.461,270.608,0.9653,0.9679,0.8602458535789491
0,271.698,270.718,0.9412,0.945,0.5703169277989936
0,271.46,270.6,0.9447,0.9474,0.6881904116084494
0,271.46,270.511,0.9073,0.9106,0.41047870577618256
0,271.461,270.602,0.9639,0.9665,0.9575344281686405
0,271.471,270.478,0.9358,0.9394,0.5401687630332479
