wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,273.325,272.278,0.9431,0.9471,0.7594843804969077
0,272.657,271.645,0.922,0.9261,0.39025003441542216
0,272.836,271.739,0.9356,0.9404,0.7318920324473698
0,272.48,271.512,0.9398,0.9434,0.15949778976510837
0,272.722,271.646,0.935,0.9398,0.8500914175584937
0,272.046,271.086,0.9263,0.9296,0.47563785798412306
0,271.944,270.873,0.9298,0.9344,0.7738189391892236
0,271.613,270.718,0.9391,0.9421,0.18240688716330247
0,272.16,271.051,0.921,0.9258,0.9388131013139045
0,271.616,270.671,0.9246,0.9281,0.5226059867538864
0,271.561,270.5,0.9255,0.9299,0.82113224189708
0,271.492,270.636,0.9411,0.9437,0.19447522854389623
0,271.477,270.404,0.9136,0.9177,1.0213132415248836
0,271.667,270.715,0.9255,0.929,0.525212942238175
0,271.688,270.622,0.9238,0.9285,0.8619986437774368
0,271.757,270.862,0.9378,0.9407,0.20041507548449272
0,271.487,270.432,0.9087,0.9125,1.10294412465011
0,271.992,271.02,0.9258,0.9293,0.5285767310957361
0,272.32,271.223,0.9227,0.9272,0.8872937751423778
0,272.461,271.436,0.9276,0.9312,0.2036029632953149
0,272.218,271.136,0.9054,0.9097,1.1881069988222277
0,272.617,271.619,0.9285,0.9324,0.5274601418425252
0,272.572,271.463,0.9212,0.9256,0.8974794654647612
0,272.988,271.854,0.9175,0.9225,0.22014632927656236
0,272.648,271.554,0.9017,0.9066,1.268617417772634
0,272.786,271.787,0.93,0.9338,0.5225272646622445
0,272.894,271.761,0.916,0.9211,0.8962379609754606
0,273.11,271.972,0.9164,0.9214,0.2714739997858596
0,272.935,271.855,0.8982,0.9027,1.3428119694289082
0,272.815,271.827,0.9316,0.9353,0.5599000168253174
0,272.776,271.643,0.9106,0.9158,0.8812519565804837
0,272.991,271.861,0.9125,0.9175,0.31927024009218236
0,272.95,271.902,0.8943,0.8984,1.4082866728189547
0,272.989,271.993,0.9303,0.9339,0.6665177711043018
0,272.83,271.689,0.9079,0.9131,0.8507904840083006
0,273.082,271.948,0.9101,0.915,0.36315372731768747
0,273.127,272.086,0.8918,0.8955,1.4662448950457088
0,273.309,272.289,0.9278,0.9314,0.7642870909026019
0,273.193,272.033,0.9087,0.9138,0.8038231710115074
0,273.474,272.272,0.8993,0.9044,0.43410940535249043
0,273.278,272.202,0.8882,0.8922,1.515968806881045
0,273.568,272.553,0.9296,0.9336,0.86262984811327
0,273.351,272.186,0.9107,0.9157,0.7678220901123217
0,273.546,272.374,0.9022,0.9069,0.5055711175579838
0,273.583,272.462,0.8936,0.8978,1.5637987488082068
0,273.623,272.61,0.9296,0.9336,0.9512877996053699
0,273.451,272.311,0.9166,0.9212,0.7490032274018141
0,273.557,272.428,0.9073,0.9116,0.5847584547220508
0,273.665,272.545,0.9028,0.9078,1.6064534779970736
0,273.81,272.78,0.9284,0.9324,0.9765726828223705
0,273.647,272.515,0.9194,0.9244,0.7345971866029685
0,273.693,272.575,0.9103,0.9153,0.6684108742536954
0,273.881,272.744,0.9052,0.9103,1.6535735444825703
0,273.908,272.882,0.9295,0.9334,0.8861644904223155
0,273.901,272.742,0.9154,0.9207,0.7032498355707607
0,273.89,272.795,0.9157,0.9203,0.7247909836692449
0,274.152,272.962,0.9001,0.9054,1.6886083932841494
0,274.25,273.199,0.9275,0.9314,0.7514242886204769
0,274.339,273.148,0.9091,0.9142,0.670745106636823
0,274.178,273.115,0.9226,0.9267,0.7517573789214462
0,274.473,273.228,0.8943,0.8997,1.7025810546924796
0,274.689,273.61,0.9265,0.931,0.6967649503143276
0,274.921,273.709,0.9062,0.9119,0.639172143392494
0,274.698,273.611,0.9243,0.9289,0.7422676449144202
0,275.205,273.871,0.8911,0.8977,1.7215923888381863
0,275.174,274.037,0.92,0.9247,0.7164607689679963
0,275.32,274.109,0.9046,0.9098,0.5786621833143836
0,275.233,274.118,0.924,0.9284,0.7193724666425336
0,275.22,273.849,0.8881,0.895,1.7356963387089372
0,275.6,274.385,0.9087,0.9136,0.7494844314827185
0,275.783,274.582,0.9066,0.9121,0.5228711639550714
0,275.387,274.269,0.9215,0.9258,0.7210932377519337
0,273.916,272.875,0.9456,0.9497,0.6030463002146502
0,273.261,272.232,0.9255,0.9293,0.38857769982613843
0,273.225,272.073,0.9297,0.9349,0.7766155109033155
0,272.654,271.651,0.9362,0.9402,0.1574736530823472
0,273.697,272.622,0.9404,0.945,0.681870108548791
0,272.95,271.931,0.9266,0.9305,0.42712230986116556
0,272.279,271.161,0.9236,0.9284,0.8300397179464956
0,271.66,270.701,0.9284,0.932,0.16028169660383515
0,272.922,271.841,0.9339,0.9386,0.7503810169629792
0,271.545,270.613,0.9263,0.9297,0.519220783855853
0,271.462,270.38,0.9162,0.9205,0.8689240464378762
0,271.46,270.548,0.9307,0.934,0.1722339432935814
0,271.471,270.443,0.9265,0.9303,0.8198759515226912
0,271.462,270.531,0.9268,0.9302,0.5406170302804729
0,271.461,270.392,0.9143,0.9184,0.8963388618947349
0,271.539,270.663,0.9357,0.9385,0.20515803052010625
0,271.46,270.435,0.9218,0.9255,0.8888457832185302
0,271.651,270.717,0.9282,0.9315,0.5520684433522152
0,271.84,270.741,0.9112,0.9161,0.917789867079992
0,272.203,271.28,0.9335,0.9363,0.2339813289961404
0,271.526,270.498,0.9149,0.919,0.9526583491814227
0,272.307,271.328,0.9266,0.9298,0.5278501832939894
0,272.536,271.403,0.9131,0.9177,0.9381482973288534
0,273.04,271.972,0.9222,0.9265,0.25670952873815217
0,272.587,271.505,0.9105,0.915,1.0047276083066083
0,273.024,272.003,0.9254,0.9293,0.5238528957391158
0,272.975,271.828,0.9153,0.9204,0.9559448945358507
0,273.451,272.255,0.9105,0.9158,0.323199104689165
0,273.257,272.157,0.9068,0.9111,1.0479508292842101
0,273.559,272.508,0.9248,0.929,0.5708491686763575
0,273.065,271.915,0.9148,0.9199,0.9696855705057283
0,273.629,272.427,0.908,0.913,0.4020571754880617
0,273.544,272.457,0.9028,0.9067,1.0792446452152367
0,273.577,272.532,0.9235,0.9278,0.7058535279631679
0,273.152,272.001,0.914,0.9191,0.972389093115386
0,273.442,272.258,0.9048,0.9098,0.4520946500588886
0,273.565,272.49,0.8955,0.8996,1.1012744413229798
0,273.501,272.46,0.9208,0.9244,0.8026424416085005
0,273.376,272.22,0.9129,0.9177,0.9617047615648566
0,273.527,272.309,0.8932,0.8983,0.5122923220467743
0,273.753,272.673,0.8921,0.8966,1.1157494659236336
0,273.529,272.505,0.9236,0.9275,0.8985276827458918
0,273.587,272.429,0.9122,0.9168,0.9486383729408105
0,273.579,272.4,0.8985,0.9032,0.6364963060780184
0,273.74,272.636,0.8884,0.8932,1.1313702436611892
0,273.727,272.704,0.926,0.93,0.9629734924770437
0,273.693,272.544,0.9138,0.9191,0.9282145278968864
0,273.639,272.515,0.9083,0.9131,0.7592879831542881
0,273.78,272.654,0.8951,0.9001,1.1413787582915675
0,273.857,272.838,0.9285,0.9324,0.9928511775172971
0,273.743,272.61,0.9156,0.9207,0.8968557050572826
0,273.835,272.746,0.9132,0.9177,0.8888493012394653
0,274.181,273.038,0.9044,0.9092,1.1354799549285433
0,274.245,273.206,0.9293,0.9331,0.9563019991536356
0,274.369,273.225,0.9202,0.9249,0.8625741206222308
0,274.205,273.118,0.9165,0.9207,0.8738403532296963
0,274.4,273.226,0.8988,0.9036,1.1190586999638001
0,274.697,273.596,0.9216,0.9263,0.8284538043062615
0,274.778,273.614,0.9212,0.9265,0.8314230649610215
0,274.383,273.339,0.9249,0.9286,0.8283100243202316
0,274.897,273.636,0.892,0.8982,1.0949716773821847
0,275.261,274.065,0.9068,0.912,0.7338458087114356
0,275.315,274.091,0.9157,0.9212,0.8001598405163843
0,274.698,273.659,0.9284,0.9325,0.835337143672916
0,275.072,273.772,0.8904,0.8968,1.0697489968541753
0,275.532,274.293,0.8982,0.9034,0.7152232413719263
0,275.512,274.27,0.9109,0.9163,0.7414560527805112
0,275.088,274.026,0.9283,0.9323,0.8524772985678085
0,275.258,273.89,0.8878,0.8946,1.0361378758291566
0,275.478,274.205,0.8882,0.8938,0.7440773862634029
0,275.467,274.249,0.909,0.9141,0.6409708718063764
0,275.239,274.17,0.929,0.933,0.8781664992632552
0,274.35,273.324,0.9478,0.9515,0.5167196749144713
0,273.612,272.578,0.9272,0.9314,0.4167201847725778
0,273.389,272.163,0.9151,0.9207,0.8075715458387931
0,272.626,271.655,0.9421,0.9457,0.14102053198594833
0,274.294,273.242,0.9434,0.9474,0.5509770410894649
0,273.539,272.497,0.9279,0.9319,0.40670784620640077
0,272.531,271.376,0.9138,0.9186,0.8483703915200402
0,271.949,270.972,0.9325,0.9361,0.15651639448741417
0,273.247,272.217,0.9392,0.943,0.5956225112551177
0,271.57,270.624,0.9244,0.9279,0.48220890926055276
0,271.462,270.421,0.9197,0.9235,0.8764253338295953
0,271.46,270.497,0.9249,0.9283,0.16846609188662798
0,271.47,270.522,0.936,0.9396,0.6365258778481948
0,271.46,270.503,0.9193,0.9227,0.5331692779899353
0,271.46,270.438,0.9211,0.9247,0.8969891859095613
0,271.46,270.526,0.9241,0.9275,0.2069297874401554
0,271.46,270.518,0.9341,0.9375,0.6773719363901026
0,271.479,270.515,0.9157,0.9192,0.5548318742893852
0,271.52,270.513,0.9228,0.9268,0.9124442597625084
0,271.551,270.647,0.9271,0.9302,0.28128596411618656
0,271.461,270.519,0.9305,0.934,0.7195435750230711
0,271.898,270.931,0.9187,0.9222,0.5294753560084229
0,272.384,271.303,0.9176,0.9218,0.9253918514477422
0,272.198,271.267,0.9287,0.9316,0.3370096312196317
0,272.852,271.781,0.9179,0.9224,0.767384835800197
0,273.017,272.002,0.9229,0.9267,0.5103888177920085
0,273.02,271.896,0.9169,0.9218,0.9407868130299338
0,273.249,272.186,0.9217,0.9258,0.41689955285444064
0,273.759,272.626,0.9112,0.9163,0.8100497621511933
0,273.677,272.632,0.9235,0.9278,0.5718356931266029
0,273.322,272.173,0.9162,0.9211,0.9568552461849869
0,273.617,272.42,0.9077,0.9127,0.4634606618977939
0,273.868,272.753,0.9062,0.911,0.8377708493726196
0,273.588,272.533,0.9179,0.9223,0.7280055880448472
0,273.406,272.233,0.9138,0.9189,0.9733759234804955
0,273.722,272.483,0.901,0.9066,0.504593464638791
0,273.916,272.806,0.8976,0.9023,0.859145375841903
0,273.642,272.596,0.918,0.9223,0.8250698760534944
0,273.526,272.331,0.9107,0.9158,0.9862225632606447
0,273.655,272.411,0.8913,0.8966,0.6454659848164257
0,273.908,272.818,0.8941,0.8986,0.8643588279381846
0,273.658,272.644,0.9243,0.9283,0.9076809104026348
0,273.664,272.474,0.9111,0.9162,0.9837331810557121
0,273.693,272.484,0.892,0.8973,0.7643049869221396
0,273.833,272.748,0.8921,0.8965,0.853743837090138
0,273.729,272.714,0.9262,0.9301,0.9643934473036154
0,273.787,272.615,0.9119,0.9174,0.9672877078309107
0,273.841,272.634,0.8955,0.9012,0.9075700162644738
0,274.115,272.984,0.8956,0.9003,0.8349568405112857
0,274.09,273.006,0.9183,0.9226,1.0055899823079237
0,274.197,273.025,0.913,0.9181,0.9476273753014535
0,273.871,272.708,0.9037,0.909,0.95539088271734
0,274.284,273.141,0.9026,0.9072,0.8200970259976652
0,274.407,273.244,0.9055,0.9102,1.0076472597676067
0,274.55,273.375,0.9141,0.9189,0.9298397006113197
0,274.097,272.985,0.9113,0.9158,0.9848594066271357
0,274.324,273.205,0.9021,0.9064,0.799203040793747
0,274.361,273.156,0.8938,0.8989,0.9543543411868477
0,274.701,273.532,0.9152,0.9205,0.9079897314577355
0,274.519,273.425,0.9163,0.9203,1.0134879393064913
0,274.579,273.409,0.8964,0.9009,0.7934097270729555
0,274.655,273.328,0.8717,0.8775,0.8648882645959628
0,274.905,273.756,0.9187,0.9237,0.8861040722366967
0,274.721,273.661,0.9225,0.9268,1.028983801807957
0,275.022,273.748,0.8902,0.8963,0.7679971244002795
0,275.167,273.775,0.8627,0.8697,0.8116221135657946
0,275.279,274.117,0.9195,0.9244,0.8627627681216318
0,275.153,274.103,0.9271,0.9309,1.0224346744301063
0,275.203,273.842,0.8836,0.8904,0.7505283659557546
0,275.235,273.84,0.859,0.8659,0.8116667261501126
0,275.521,274.333,0.9165,0.9214,0.78587254567054
0,275.448,274.385,0.9273,0.931,1.0078935212330409
0,274.019,273.005,0.9469,0.9507,0.46348539001595856
0,273.509,272.473,0.926,0.9297,0.5048835739013833
0,273.03,271.865,0.9123,0.9176,0.8048667485838692
0,272.46,271.498,0.9422,0.9456,0.15948504331244615
0,274.187,273.149,0.9426,0.9465,0.4794057093910765
0,273.299,272.266,0.9264,0.9301,0.42991021398744733
0,272.452,271.341,0.9044,0.9088,0.8251782209011231
0,272.115,271.146,0.9358,0.9392,0.1819544900654148
0,272.21,271.261,0.9404,0.9435,0.49468462726823137
0,271.474,270.523,0.9205,0.924,0.43939867334920696
0,271.485,270.481,0.9045,0.908,0.8360178042450785
0,271.461,270.506,0.9277,0.9312,0.19572958145748037
0,271.46,270.555,0.9391,0.9422,0.5347327068876732
0,271.46,270.49,0.9148,0.9181,0.5085036174432656
0,271.46,270.45,0.9024,0.9057,0.8486763063839333
0,271.46,270.496,0.9206,0.924,0.2561745346270133
0,271.46,270.556,0.936,0.9392,0.5545891308448858
0,271.46,270.518,0.9152,0.9186,0.5460242794430309
0,271.46,270.467,0.9089,0.9122,0.8597669948453344
0,271.479,270.534,0.9198,0.9234,0.36032554440099324
