wind spd [m/s],Surface T[K],TOA T[K],transmittance,jakobian,TCWV [cm]
0,271.46,270.332,0.8708,0.8751,1.1222719277225148
0,271.46,270.207,0.9185,0.9246,0.7506076488913134
0,271.46,270.336,0.8629,0.8671,0.8639736811245429
0,271.46,270.268,0.9331,0.9387,0.5594677591226362
0,271.46,270.367,0.8658,0.8696,1.143911580407173
0,271.46,270.251,0.9212,0.9269,0.7654529324488994
0,271.46,270.386,0.8697,0.8733,0.7955711175579838
0,271.46,270.249,0.9262,0.9319,0.6422224205003746
0,271.46,270.38,0.8591,0.8627,1.1698100778553329
0,271.46,270.265,0.9222,0.9278,0.768700473658181
0,271.46,270.396,0.874,0.8776,0.6688255418517026
0,271.46,270.322,0.9361,0.9412,0.7239181065909357
0,271.46,270.393,0.8538,0.8572,1.1879712236084699
0,271.46,270.274,0.9235,0.929,0.7603662820637018
0,271.46,270.395,0.8759,0.8795,0.5964896779226343
0,271.46,270.496,0.9574,0.9609,0.7840472026634988
0,271.46,270.415,0.8558,0.859,1.1951818918794899
0,271.46,270.287,0.9252,0.9305,0.7438615123411154
0,271.46,270.398,0.8776,0.8812,0.6138975083234336
0,271.46,270.443,0.9545,0.9584,0.8879098876782591
0,271.46,270.413,0.8553,0.8585,1.1957567568945562
0,271.46,270.293,0.9258,0.931,0.714973206956504
0,271.46,270.396,0.8785,0.8822,0.6545337092687105
0,271.46,270.383,0.9501,0.9546,1.009475457980044
0,271.46,270.402,0.8541,0.8574,1.1934318039289664
0,271.46,270.296,0.9254,0.9306,0.6514832282175871
0,271.46,270.385,0.8778,0.8816,0.6881960710334314
0,271.46,270.344,0.9467,0.9516,1.08988528192604
0,271.46,270.393,0.8542,0.8576,1.190769069967828
0,271.46,270.296,0.9238,0.929,0.536312655188061
0,271.46,270.374,0.8768,0.8807,0.6905276521544055
0,271.46,270.309,0.9432,0.9485,1.1382421622062584
0,271.46,270.393,0.8559,0.8594,1.1877825761090688
0,271.46,270.297,0.9206,0.9258,0.4649554638943981
0,271.46,270.362,0.8761,0.8801,0.646915154512499
0,271.46,270.258,0.9389,0.9447,1.217318860161217
0,271.46,270.391,0.8553,0.8588,1.184119245613946
0,271.46,270.314,0.9184,0.9233,0.43102389704945115
0,271.46,270.36,0.8751,0.8791,0.5757106657217297
0,271.46,270.258,0.9391,0.9449,1.3227689374047205
0,271.46,270.391,0.8544,0.8578,1.1632303589910928
0,271.46,270.334,0.9155,0.9202,0.3942363600210062
0,271.46,270.375,0.8731,0.8769,0.5283287870985505
0,271.46,270.335,0.9451,0.9501,1.3894154986667213
0,271.46,270.392,0.8513,0.8547,1.1280361285454261
